FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,local_time,RASTERVALU
120,38.823000000000000,116.134000000000000,315.800000000000010,8/7/2014 0:00:00,5,54,9.600000000000000,13,13
121,38.817999999999998,116.205000000000000,328.600000000000020,3/12/2010 0:00:00,5,82,31.800000000000001,13,12
122,38.796999999999997,116.318000000000000,321.800000000000010,6/28/2013 0:00:00,3,74,8.600000000000000,11,12
123,38.850000000000001,116.051000000000000,324.899999999999980,2/2/2008 0:00:00,3,78,46.799999999999997,11,11
124,38.848999999999997,116.057000000000000,319.100000000000020,2/11/2008 0:00:00,3,71,42.200000000000003,11,12
125,38.871000000000002,115.944999999999990,322.600000000000020,6/21/2007 0:00:00,5,60,59.299999999999997,13,12
126,38.865000000000002,115.976000000000000,315.600000000000020,4/8/2012 0:00:00,3,39,11.699999999999999,11,12
127,38.865000000000002,116.036000000000000,319.800000000000010,2/4/2004 0:00:00,6,72,49.399999999999999,14,1
128,38.866999999999997,116.053000000000000,310.899999999999980,2/4/2004 0:00:00,6,44,31.100000000000001,14,14
129,38.862000000000002,116.083000000000000,321.800000000000010,6/11/2014 0:00:00,5,46,12.300000000000001,13,12
130,38.863000000000000,116.086000000000000,335.199999999999990,6/18/2006 0:00:00,3,78,27.500000000000000,11,12
131,38.881999999999998,115.989000000000000,317.199999999999990,2/5/2007 0:00:00,6,67,34.100000000000001,14,12
132,38.880000000000003,116.050000000000000,312.600000000000020,2/5/2008 0:00:00,5,53,28.300000000000001,13,11
133,38.877000000000002,116.016000000000010,310.500000000000000,3/26/2006 0:00:00,5,39,14.400000000000000,13,1
134,38.866999999999997,116.069999999999990,326.399999999999980,6/20/2010 0:00:00,3,72,21.800000000000001,11,13
135,38.862000000000002,116.098000000000000,324.600000000000020,6/18/2006 0:00:00,3,63,9.199999999999999,11,12
136,38.835000000000001,116.236999999999990,313.000000000000000,10/23/2013 0:00:00,5,57,13.300000000000001,13,12
137,38.810000000000002,116.376000000000000,316.199999999999990,11/14/2006 0:00:00,5,65,25.500000000000000,13,12
138,38.884000000000000,116.004000000000000,318.000000000000000,2/5/2007 0:00:00,6,69,36.100000000000001,14,12
139,38.889000000000003,115.980999999999990,322.199999999999990,6/14/2007 0:00:00,3,65,19.500000000000000,11,14
140,38.884999999999998,116.003000000000000,310.500000000000000,2/19/2008 0:00:00,5,38,15.100000000000000,13,12
141,38.887999999999998,115.992999999999990,319.100000000000020,6/14/2007 0:00:00,3,62,16.500000000000000,11,12
142,38.881000000000000,116.031000000000010,319.100000000000020,2/16/2008 0:00:00,3,71,26.000000000000000,11,14
143,38.902999999999999,115.922000000000000,305.100000000000020,6/14/2007 0:00:00,14,11,10.600000000000000,22,12
144,38.886000000000003,116.015000000000000,315.800000000000010,2/19/2008 0:00:00,5,64,20.699999999999999,13,11
145,38.872000000000000,116.087999999999990,330.500000000000000,6/18/2006 0:00:00,3,51,21.600000000000001,11,12
146,38.813000000000002,116.390000000000000,321.600000000000020,11/14/2006 0:00:00,5,74,34.000000000000000,13,12
147,38.880000000000003,116.050000000000000,312.600000000000020,2/5/2008 0:00:00,5,53,28.300000000000001,13,11
148,38.780999999999999,116.555000000000010,313.699999999999990,10/20/2013 0:00:00,3,59,14.000000000000000,11,12
149,38.872999999999998,116.090999999999990,323.500000000000000,6/22/2010 0:00:00,3,14,12.900000000000000,11,12
150,38.856999999999999,116.184000000000000,325.300000000000010,6/22/2009 0:00:00,5,78,10.800000000000001,13,12
