latitude,longitude,brightness,acq_date,confidence,frp
38.914,115.84,328.7,2005-06-20 05:00:00,69,15.3
39.01,115.343,313.1,2010-04-13 05:00:00,57,9.4
39.01,115.345,323.3,2013-07-05 03:00:00,52,13.7
39.008,115.357,322,2013-07-05 03:00:00,24,11.5
38.908,115.884,319.6,2011-06-29 03:00:00,71,30.5
39.002,115.396,313.1,2013-10-10 06:00:00,57,14.8
39.012,115.346,319.5,2012-04-13 03:00:00,57,8.3
38.939,115.742,328.8,2007-06-14 03:00:00,82,18.8
38.931,115.788,325.6,2005-06-20 03:00:00,78,14.3
38.931,115.791,323,2004-06-22 05:00:00,76,9.4
38.923,115.835,310.8,2012-10-10 03:00:00,41,8.6
38.921,115.849,312.4,2012-10-10 03:00:00,53,10.9
39.017,115.348,314.2,2011-09-02 03:00:00,57,12.2
39.019,115.342,315.9,2012-09-04 03:00:00,58,13.1
39.006,115.418,326.6,2007-06-14 03:00:00,77,12.8
38.936,115.788,327.8,2005-06-20 05:00:00,81,15.8
39.02,115.361,312.4,2013-08-20 05:00:00,22,9.4
38.924,115.865,312,2009-10-14 05:00:00,52,15.7
39.026,115.332,315.4,2007-04-03 06:00:00,63,6.8
39.018,115.397,312.7,2012-10-09 06:00:00,31,11.8
38.925,115.889,322.4,2007-06-16 03:00:00,75,18.7
39.051,115.246,311.4,2010-04-02 06:00:00,47,7.8
39.029,115.365,310.7,2013-08-20 04:00:00,38,10.9
38.955,115.768,323.6,2004-06-22 05:00:00,64,9
39.058,115.236,319.4,2009-03-07 06:00:00,71,21.3
38.987,115.652,330.7,2007-06-17 05:00:00,83,23.3
39.03,115.465,320,2013-06-26 05:00:00,70,12.4
39.031,115.464,322.6,2013-06-01 05:00:00,49,12.1
39.03,115.47,312.8,2014-09-04 06:00:00,56,7.4
39.032,115.462,320.6,2014-05-19 05:00:00,15,10.1
39.031,115.468,316.7,2013-06-12 03:00:00,66,10.8
39.033,115.458,318.4,2013-07-28 05:00:00,68,14.7
39.033,115.459,312.5,2013-09-05 05:00:00,53,10.2
39.031,115.471,315.9,2014-08-25 05:00:00,65,19.1
39.032,115.467,310.4,2014-09-13 06:00:00,37,7
39.032,115.467,315.3,2014-04-24 05:00:00,50,8.1
39.032,115.467,310.4,2014-09-13 06:00:00,37,7
39.032,115.467,315.3,2014-04-24 05:00:00,50,8.1
39.033,115.464,319.7,2013-07-05 05:00:00,71,15.1
39.032,115.471,320.1,2014-08-21 05:00:00,60,9
39.033,115.466,313.2,2014-08-14 04:00:00,57,20.2
39.033,115.467,322,2014-07-15 03:00:00,65,12.4
39.033,115.469,318.4,2014-05-12 05:00:00,65,17.5
39.033,115.471,311.3,2013-09-14 03:00:00,47,10.5
39.035,115.463,314,2014-09-03 03:00:00,60,9.2
39.033,115.475,313.2,2014-09-03 03:00:00,57,8.3
39.035,115.465,316.3,2013-07-16 03:00:00,64,8
39.035,115.467,315.3,2014-09-10 03:00:00,63,11.8
39.034,115.473,318.7,2014-05-05 03:00:00,26,11.7
38.983,115.742,321.1,2007-06-15 04:00:00,72,38.7
38.988,115.716,323.6,2007-06-15 04:00:00,77,51.2
39.034,115.476,314.7,2014-06-20 04:00:00,62,13.3
39.036,115.466,312.2,2013-09-14 05:00:00,53,10.9
39.036,115.466,317.1,2014-08-19 06:00:00,42,9.1
39.036,115.466,312.2,2013-09-14 05:00:00,53,10.9
39.036,115.466,317.1,2014-08-19 06:00:00,42,9.1
39.035,115.472,312.8,2013-09-05 05:00:00,55,10.5
39.035,115.473,315.3,2013-06-14 03:00:00,63,7.6
39.035,115.474,320.3,2014-08-16 04:00:00,70,16.4
39.036,115.469,318.3,2014-06-15 03:00:00,45,7.1
39.036,115.474,315.6,2013-08-29 03:00:00,64,14.6
39.036,115.47,311.2,2014-04-26 05:00:00,38,13.3
39.035,115.476,315.9,2014-05-12 04:00:00,59,14.5
39.006,115.629,317.9,2013-06-12 03:00:00,53,11.8
39.034,115.482,314,2014-08-07 04:00:00,53,12.8
39.004,115.64,317.3,2013-06-12 03:00:00,63,10.8
39.078,115.249,324.7,2010-02-21 03:00:00,78,29.2
39.076,115.26,323.2,2010-02-21 03:00:00,76,27.2
39.036,115.474,315.6,2013-08-29 03:00:00,64,14.6
38.99,115.718,328.8,2006-06-17 06:00:00,82,15.7
38.988,115.731,349.1,2007-06-15 05:00:00,95,48.6
39.037,115.474,311.2,2014-09-05 03:00:00,47,7.8
39.037,115.474,312.5,2013-08-18 04:00:00,54,23.8
39.037,115.474,311.2,2014-09-05 03:00:00,47,7.8
39.037,115.474,312.5,2013-08-18 04:00:00,54,23.8
39.04,115.462,310.7,2014-09-08 04:00:00,38,10.2
38.991,115.72,311.3,2007-06-14 14:00:00,74,17.9
39.037,115.479,312.4,2014-09-08 04:00:00,51,14
39.037,115.48,317.7,2014-08-25 03:00:00,66,11.2
39.039,115.471,316.4,2013-08-31 03:00:00,61,10.6
38.967,115.848,312.1,2014-10-06 06:00:00,52,11.1
39.009,115.632,328.4,2007-07-10 05:00:00,22,12.8
39.009,115.63,320.8,2009-05-23 03:00:00,69,17
39.081,115.249,312.9,2011-03-23 18:00:00,80,30.9
38.969,115.84,317.6,2008-07-23 03:00:00,68,11.9
39.007,115.642,318.3,2009-05-23 03:00:00,67,13.5
39.009,115.632,328.4,2007-07-10 05:00:00,22,12.8
38.983,115.768,328.3,2005-06-20 05:00:00,47,15.4
39.04,115.47,325.1,2007-06-17 05:00:00,49,13.9
39.04,115.474,313,2014-08-14 04:00:00,46,19
39.039,115.477,315.5,2013-06-12 03:00:00,60,8.3
39.04,115.474,313,2014-08-14 04:00:00,46,19
39.016,115.604,328.9,2005-06-20 05:00:00,69,17.9
39.011,115.634,319.8,2011-06-14 03:00:00,23,12.2
38.992,115.736,331,2005-06-20 03:00:00,84,22.8
38.993,115.731,328.6,2005-06-20 03:00:00,82,18.6
38.971,115.847,316.6,2014-08-07 05:00:00,19,10.1
38.973,115.84,310.1,2014-08-18 03:00:00,17,6.8
39.026,115.571,328.8,2005-06-21 06:00:00,47,21.1
39.085,115.259,311.8,2010-02-21 05:00:00,51,56.9
39.087,115.25,325.1,2010-02-21 03:00:00,76,28.8
39.085,115.262,323.7,2010-02-21 03:00:00,72,27.1
39.013,115.645,320,2004-06-26 03:00:00,72,9.2
38.974,115.849,310.8,2013-04-02 03:00:00,43,7.8
38.998,115.725,327.2,2007-06-15 04:00:00,46,58.7
39.091,115.235,321.8,2013-12-31 06:00:00,74,31.5
39.041,115.512,328.7,2005-06-20 05:00:00,43,18.5
39.05,115.467,328.6,2007-06-17 05:00:00,82,19.7
39.062,115.405,324.4,2005-06-18 05:00:00,77,12
39.033,115.559,316.9,2005-06-19 03:00:00,67,16.2
39.053,115.461,333.1,2005-06-20 05:00:00,85,30.9
39.052,115.48,324.9,2007-06-17 05:00:00,41,11.8
39.112,115.163,313.9,2007-04-01 06:00:00,52,16.3
39.006,115.726,328.1,2005-06-19 03:00:00,77,47.3
38.989,115.815,311.3,2006-11-14 05:00:00,47,22.3
39.037,115.565,335.1,2007-06-17 05:00:00,54,25
39.039,115.559,325.8,2005-06-20 05:00:00,59,13.2
39.087,115.305,310.3,2012-03-14 03:00:00,35,10.5
38.984,115.858,314.9,2011-10-27 05:00:00,62,21.5
39.088,115.318,312.4,2007-04-01 02:00:00,54,65.8
39.023,115.672,331.5,2006-06-17 06:00:00,84,22.2
39.084,115.351,315.4,2013-11-15 04:00:00,63,41.5
39.054,115.516,327.1,2005-06-20 03:00:00,80,19.2
39.011,115.744,328.8,2005-06-20 05:00:00,58,15.4
39.091,115.323,322.1,2005-11-07 05:00:00,75,25.4
